967363548;Terkait BiayaCV. PUTRATAMA;15/05/2013 10:34:03; di Nopend 40005;
982390786;Terkait Pendapatan ;15/05/2013 16:51:51; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan ;15/05/2013 16:53:05; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan ;15/05/2013 16:54:31; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan ;15/05/2013 16:55:43; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan ;15/05/2013 16:58:08; di Nopend 46200 dengan id (4422);
982390786;Terkait Pendapatan121313;15/05/2013 17:00:03; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan12131;15/05/2013 17:00:18; di Nopend 46200 dengan id (4422);
987392347;Terkait Biayahj dina;15/05/2013 17:19:23; di Nopend 76100;
;Ubah Status Verifikasi;15/05/2013 17:21:43; ();
972332303; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 17:26:07; di Nopend 40000 dengan id ();
987400940; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 17:34:33; di Nopend 98300 dengan id ();
987400940; Insert/Update SPT PPh23 Nihil Masa 4-2013;15/05/2013 17:38:15; di Nopend 98300 dengan id ();
987400940; Insert/Update SPT PPh23 Nihil Masa 4-2013;15/05/2013 17:38:29; di Nopend 98300 dengan id ();
;Ubah data pegawai;15/05/2013 18:02:43; (656);
FP-1;Ubah data user;15/05/2013 18:03:07;972332303 ();
FP-1;Ubah data user;15/05/2013 18:03:18;9723323031 ();
967363548;Terkait Daftarbuktipotong;15/05/2013 18:13:18; di Nopend 40005 dengan id ();
9723323031;Terkait Daftarbuktipotong;15/05/2013 18:14:47; di Nopend 40000 dengan id ();
967363548; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 18:32:58; di Nopend 40005 dengan id ();
967363548; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 18:35:16; di Nopend 40005 dengan id ();
967363548; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 18:36:29; di Nopend 40005 dengan id ();
967363548; Insert/Update Daftar Bukti Potong PPh23 Nihil Masa 3-2013;15/05/2013 18:41:18; di Nopend 40005 dengan id ();
