pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 00:30:39; di lokasi  dengan id_pengadaan (112);
pos_1;Insert Data Ambil Dokumen ;30/01/2014 09:33:20; di lokasi  dengan id_pengadaan ();
pos_1;Insert Data Ambil Dokumen ;30/01/2014 09:45:13; di lokasi  dengan id_pengadaan ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:09:57; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:10:19; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:19:44; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:19:48; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:19:51; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:19:56; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:20:54; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:21:01; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:24:02; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:24:06; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:25:04; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:25:52; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:25:56; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:26:09; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:32:19; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:32:24; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:32:29; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:32:53; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:33:13; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:34:58; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:35:26; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:36:45; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:37:41; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:38:38; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:38:59; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:40:05; ();
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;30/01/2014 10:44:05; ();
pos_1@posindonesia.co.id;Ubah Kehadiran Aanwijzing ;30/01/2014 10:44:54; ();
pos_1@posindonesia.co.id;Ubah Kehadiran Pembukaan Dokumen ;30/01/2014 10:48:20; ();
pos_1@posindonesia.co.id;Ubah Kehadiran Pembukaan Dokumen ;30/01/2014 10:49:18; ();
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 99;30/01/2014 11:46:01; untuk peruntukan 24;
pos_1;Ubah Data Syarat Pengadaan ;30/01/2014 11:46:47; di lokasi  dengan id_pengadaan ();
pos_1@posindonesia.co.id;Ubah Kehadiran Penjelasan/Aanwijzing ;30/01/2014 12:30:26; ();
;Ubah data;30/01/2014 14:07:53; (442);
